app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,precip_rate,pres,rh,slp,snow_rate,solar_rad,temp,uv,vis,wind_dir,wind_gust_spd,wind_spd,Broken clouds,Clear Sky,Few clouds,Fog,Haze,Heavy rain,Light rain,Moderate rain,Overcast clouds,Scattered clouds,Thunderstorm with heavy rain,timestamp
13.582105,133.48347,49.154675,10.190168,10.830674,109.75291,-34.119873,29.811497,-1.1833416,1017.15985,79.062325,1024.1602,0.0030666343,28.353205,0.22787058,14.092642,157.21617,6.6217494,6.6436043,-0.019419558,-0.6377297,0.6749648,-0.22978693,0.14011985,-0.027949335,0.10336037,-0.0369719,0.3067056,0.053330448,0.012507605,13.499597,2023-05-18 03:15:00
13.586321,139.0547,50.641735,10.257728,10.745778,110.73791,-33.578274,28.058529,-1.1991062,1017.14105,78.91809,1024.0952,-0.00041128523,28.748781,0.19875562,13.121151,158.1741,6.2213697,6.3831997,0.092943124,-0.5950372,0.6337461,-0.26939407,0.14152242,-0.031136947,0.08901672,-0.03561095,0.31942746,0.0039589074,0.012169741,13.625143,2023-05-18 03:30:00
13.48822,142.18,50.87679,10.235657,8.050166,76.25106,-32.7982,29.760075,-1.2255963,1017.06006,79.22142,1024.0817,0.0026464104,36.007915,0.24166387,12.903782,165.44743,5.6223736,5.947076,0.15696967,-0.5711311,0.62306315,-0.37825885,0.12253414,-0.031311296,0.077597566,-0.031849246,0.31594366,-0.0030775848,0.015923217,13.501584,2023-05-18 03:45:00
13.362242,133.44286,50.524357,10.178562,6.3350496,56.587734,-32.960625,30.491581,-1.2033052,1016.9658,79.32627,1024.0309,0.0029151123,42.929432,0.32233888,13.299054,165.18396,5.4972944,5.855644,0.18615106,-0.54201066,0.64665675,-0.35097945,0.1063775,-0.026288958,0.038507342,-0.029545067,0.315888,-0.05195384,0.021054976,13.397376,2023-05-18 04:00:00
13.197481,130.74486,50.36354,10.234908,6.78592,60.98028,-32.466255,28.872425,-0.97382766,1017.1053,80.8865,1024.1141,0.0009918547,43.278454,0.3048511,12.951851,159.13263,5.3414574,5.6881785,0.25395393,-0.47784492,0.62715113,-0.32231307,0.15335424,-0.022396892,0.030944508,-0.026257716,0.29514045,-0.090800464,0.024074653,13.248984,2023-05-18 04:15:00
13.071422,127.33478,52.51359,10.326659,8.349578,74.82076,-30.904444,28.77818,-0.96722955,1017.18945,82.3899,1024.1884,-7.2756666e-07,38.551807,0.23298615,12.679003,157.65025,5.091434,5.4251885,0.27947873,-0.42852998,0.61383426,-0.34641925,0.06703856,-0.022713149,0.022919117,-0.022812387,0.34747255,-0.12218323,0.025190715,13.068338,2023-05-18 04:30:00
13.043,118.57092,54.353027,10.392648,8.914266,87.606575,-29.495178,25.29868,-1.0222617,1017.2133,83.48448,1024.1996,0.0013721196,34.51144,0.22143638,12.653542,163.15173,5.070461,5.342097,0.25988036,-0.3824129,0.591207,-0.38571084,0.0008865504,-0.026676102,0.0077097723,-0.017095238,0.42030507,-0.13204172,0.022871442,12.941969,2023-05-18 04:45:00
13.121035,112.83421,53.91565,10.437391,6.505643,67.04983,-29.200788,28.007404,-0.9344484,1017.25146,83.95979,1024.2019,0.0025759633,35.015102,0.25246006,12.566084,172.04324,5.2478666,5.4278374,0.27255037,-0.35864478,0.564838,-0.3796585,0.0020781627,-0.026253158,-0.010353896,-0.010561991,0.42341274,-0.10406381,0.023016654,12.981249,2023-05-18 05:00:00
13.103745,108.023605,54.916103,10.479042,3.1129732,21.973246,-28.633755,28.150455,-0.89897853,1017.2324,84.492615,1024.2458,0.004366262,31.906832,0.2889158,12.034309,180.81413,5.412595,5.564237,0.26417124,-0.35090727,0.4990814,-0.2970429,0.118879646,-0.025862215,-0.01496338,-0.012639305,0.41169664,-0.039977375,0.024123909,13.001563,2023-05-18 05:15:00
13.033018,113.13395,57.163464,10.440673,3.1273127,18.951609,-28.095627,21.922207,-1.0351539,1017.2427,84.45291,1024.4084,0.0007504806,22.135767,0.32939848,12.03894,185.35286,5.2797728,5.4793386,0.19907083,-0.36307293,0.42965937,-0.19206722,0.22257489,-0.024927037,-0.030499332,-0.015359571,0.42121547,0.03437407,0.022816313,12.952151,2023-05-18 05:30:00
